Spent,Profit,Payouts,Plays
18,7,0|25|0,🦆✨🦆|✨🤔♾|🦆🦆🤔
18,-6,0|6|6,🦆✨🤔|✨✨🤔|✨✨🤔
18,7,0|25|0,✨🃏🔺|♾🔺✨|🔺🦆🔺
18,8,25|0|1,♾🔺🃏|✨🤔🦆|🔺🤔🤔
18,-17,1|0|0,🤔🤔🦆|🃏🔺🤔|🦆✨🦆
18,7,0|25|0,🤔🃏🤔|♾🦆🃏|🤔✨🦆
18,-6,0|0|12,🦆🃏🤔|🦆🦆✨|🃏🃏🤔
18,7,25|0|0,✨🤔♾|🦆🔺🃏|✨🔺🤔
18,7,0|0|25,🃏✨🤔|🔺🤔🔺|♾🦆🃏
18,7,0|25|0,✨🤔✨|🤔🃏♾|🃏🤔🃏
18,2,0|0|20,🔺🦆🦆|🦆🃏🦆|🦆🔺🔺
18,19,25|0|12,♾🦆🤔|🤔✨🔺|🦆🃏🃏
18,-12,0|6|0,🔺🃏🦆|🦆✨✨|🔺✨🤔
18,7,0|0|25,✨🦆🦆|🔺✨🤔|♾🃏✨
18,19,12|0|25,🃏🃏🤔|🤔✨🔺|♾✨🃏
18,-6,0|12|0,🦆🃏🤔|🤔🃏🃏|🤔🦆🤔
6,-6,0,🦆🦆🦆
18,27,0|20|25,🃏✨🦆|✨🔺🔺|♾✨✨
18,8,1|25|0,🤔🤔🃏|🦆♾🃏|🔺🦆🦆
18,27,0|25|20,🃏🤔🦆|♾🤔🦆|🤔🔺🔺
18,-18,0|0|0,🃏🤔✨|🤔🦆🃏|🃏🔺🃏
18,-6,0|12|0,🦆🃏✨|🃏🃏🦆|🤔🃏✨
18,-6,0|0|12,✨🔺🤔|🃏🦆🤔|🃏🃏🦆
18,-12,0|0|6,🔺✨🃏|🔺🦆🦆|🃏✨✨
18,13,6|0|25,✨✨🦆|🃏🔺🤔|🃏♾✨
18,-18,0|0|0,🃏🦆🦆|🦆🃏🔺|🔺🃏🦆
18,7,0|25|0,🤔🦆🤔|🤔♾🔺|🦆🦆🔺
18,52,0|20|50,🃏🦆🤔|🤔🔺🔺|🤔♾♾
18,-18,0|0|0,🦆🦆🃏|🦆🦆🃏|✨🤔🃏
18,-12,6|0|0,🦆✨✨|🦆✨🃏|🃏✨🤔
18,-12,6|0|0,🦆✨✨|🤔🦆✨|🦆🤔🦆
18,-12,0|0|6,🦆✨🦆|🃏🔺🦆|🃏✨✨
18,-18,0|0|0,🔺🤔🦆|🔺🤔✨|🔺🃏🔺
